"Code","NUTS2","NUTS2_Name","COUNTRY","LF_113- GDP","LF_113 - GDP/capita","LF_211 - Recreational opportunities potential","LF_311 - Water consumption","LF_312 - Water productivity","LF_321 - Food and feed production","LF_331 - Biomass harvested from energy crops","LF_332 - Energy content of dedicated energy crops","LF_411 - Share  of residential areas over the total land area","LF_412 - Residential areas per person","LF_413 - Urban Sprawl","LF_415 - Population density","LF_421 - Share of industrial/commercial areas","LF_422 - Industrial economic output per unit of industrial/commercial area","LF_431 - Share of built-up areas over the total land","LF_432 - Productivity of built-up areas","LF_433 - Built-up  per person","LF_441 - Potential accessibility","LF_442 - Network efficiency","LF_443 - Local accessibility (Travel time to nearest city)","LF_444 - Daily accessibility (Amount of people reached within 4 hours)","LF_511- NO2 removal by urban vegetation","LF_521 - Capacity of ecosystems to avoid soil erosion","LF_522 - Soil retention","LF_524 - Water Retention","LF_531 - Relative pollination potential","LF_532 - C-stock changes","LF_612a - Habitat quality for common birds","LF_612b - Habitat quality for forest birds","LF_612c - Habitat quality for farmland birds","LF_621 - Proportion of Green Infrastructure","LF_622 - Green Infrastructure fragmentation","Year","POPULATION"
"1","AT","AUSTRIA (CNT)","Austria",65.61,147.11,102.19,100.11,117.74,78.6,NA,NA,82.79,106.42,110.02,71.61,0,258.51,81.4,134.55,95.94,168.27,135.14,203.6,157.9,117.44,103.74,492.29,87.99,65.45,100,89.25,102.46,72.33,139.54,9.69,2010,8375289
"10","AT0","AUSTRIA","Austria",98.38,138.95,99.04,96,102.44,64.49,NA,NA,105.67,126.19,107.78,96.22,80.82,232.06,98.2,122.15,113.29,117.26,109.11,159.75,108.72,122.39,102.39,107.6,88.36,70.19,100,85.41,95.77,67.56,152.82,95.89,2010,8375289
"14","AT11","Burgenland (AT)","Austria",85.35,97.56,93.33,89.77,102.13,54.35,NA,NA,74.87,217.15,122.65,84.95,19.14,121.17,100.13,44.03,181.97,108.36,109.4,138.93,90.19,71.09,98.16,100.52,88.59,69.23,100,101.23,93.57,110.61,108.4,98.84,2010,281654
"17","AT12","Niederosterreich","Austria",104.12,117.63,97.44,101.37,100.51,81.52,NA,NA,65.51,161.04,119.8,88.16,31.9,88.1,89.94,65.29,148.36,114.78,108.79,152.71,102.44,99.78,100.71,103.7,89.59,67.07,100,113.12,116.42,116.47,120.47,97.78,2010,1608162
"21","AT13","Wien","Austria",109.03,184.51,69.85,99.23,104.03,115.22,NA,NA,505.49,25.43,61.76,165.76,587,312.6,225.94,340.12,32,149.31,110.63,161.51,110.7,175.23,98.16,97.95,92.1,38.94,100,48.42,46.68,26.6,71.99,106.23,2010,1702429
"26","AT21","Karnten","Austria",93.84,119.95,104.19,94.73,101.71,41.3,NA,NA,39.28,138.24,111.7,81.27,6.38,335.85,61.4,85.03,116.13,102.54,108.84,165.27,92.86,121.92,103.89,112.98,88.34,82.21,100,101.33,131.8,59.39,183.93,91.24,2010,558648
"33","AT22","Steiermark","Austria",101.66,124.36,108,98.56,101.76,50,NA,NA,47.78,134.15,114.33,85.41,19.14,148.03,77.47,86.55,119.79,103.87,108.92,163.67,91.43,140.68,103.78,109.21,88.09,95.2,100,105.94,134.37,74.52,176.23,91.56,2010,1205599
"40","AT31","Oberosterreich","Austria",104.56,143.12,87.17,99.68,102.02,101.09,NA,NA,61.68,108.14,113.23,95.05,25.52,196.35,89.94,122.99,96.93,121.22,109.62,155.2,117.25,83.09,103.04,106.24,95.61,82.21,100,99.3,98.05,105.98,159.8,94.14,2010,1409683
"44","AT32","Salzburg","Austria",96.52,162.63,116.22,95.97,101.73,47.83,NA,NA,37.57,104.34,107.1,85.87,25.52,155.27,77.47,119.95,112.02,111.48,108.52,154.6,106.27,139.76,104.85,112.76,83.07,64.91,100,70.27,79.79,46.14,187.26,89.13,2010,531878
"49","AT33","Tirol","Austria",98.31,150.12,114.17,95.4,102.93,32.61,NA,NA,34.17,125.97,108.41,80.36,0,369.44,61.4,112.36,110.64,116.2,108.21,151.94,127,153.71,104.1,112.62,77.55,58.42,100,54.84,65.26,25.06,188.51,88.86,2010,708305
